architecture,model,arch_key,metric,correct_value,misspelled_value,absolute_degradation,percentage_degradation,robustness_score
pure_llm,qwen,pure_llm_qwen,accuracy,0.6111111111111112,0.6222222222222222,-0.011111111111111072,-1.8181818181818115,1.018181818181818
pure_llm,qwen,pure_llm_qwen,f1_score,0.46153846153846156,0.4769230769230769,-0.01538461538461533,-3.3333333333333215,1.0333333333333332
pure_llm,qwen,pure_llm_qwen,precision,0.75,0.775,-0.025000000000000022,-3.333333333333336,1.0333333333333334
pure_llm,qwen,pure_llm_qwen,sensitivity,0.3333333333333333,0.34444444444444444,-0.011111111111111127,-3.3333333333333384,1.0333333333333334
pure_llm,qwen,pure_llm_qwen,specificity,0.8888888888888888,0.9,-0.011111111111111183,-1.250000000000008,1.0125000000000002
format_a,qwen,format_a_qwen,accuracy,0.9,0.5,0.4,44.44444444444445,0.5555555555555556
format_a,qwen,format_a_qwen,f1_score,0.888888888888889,0.0,0.888888888888889,100.0,0.0
format_a,qwen,format_a_qwen,precision,1.0,0.0,1.0,100.0,0.0
format_a,qwen,format_a_qwen,sensitivity,0.8,0.0,0.8,100.0,0.0
format_a,qwen,format_a_qwen,specificity,1.0,1.0,0.0,0.0,1.0
format_b,qwen,format_b_qwen,accuracy,1.0,0.5,0.5,50.0,0.5
format_b,qwen,format_b_qwen,f1_score,1.0,0.0,1.0,100.0,0.0
format_b,qwen,format_b_qwen,precision,1.0,0.0,1.0,100.0,0.0
format_b,qwen,format_b_qwen,sensitivity,1.0,0.0,1.0,100.0,0.0
format_b,qwen,format_b_qwen,specificity,1.0,1.0,0.0,0.0,1.0
graphrag,qwen,graphrag_qwen,accuracy,1.0,0.5,0.5,50.0,0.5
graphrag,qwen,graphrag_qwen,f1_score,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,precision,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,sensitivity,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,specificity,1.0,1.0,0.0,0.0,1.0
